Number		Dims		Class Data
0		(1, 64, 64, 3)		[b'sea slug, nudibranch']
1		(1, 64, 64, 3)		[b'ox']
2		(1, 64, 64, 3)		[b'lawn mower, mower']
3		(1, 64, 64, 3)		[b'European fire salamander, Salamandra salamandra']
4		(1, 64, 64, 3)		[b'lampshade, lamp shade']
5		(1, 64, 64, 3)		[b'slug']
6		(1, 64, 64, 3)		[b'reel']
7		(1, 64, 64, 3)		[b'seashore, coast, seacoast, sea-coast']
8		(1, 64, 64, 3)		[b'lawn mower, mower']
9		(1, 64, 64, 3)		[b'comic book']
10		(1, 64, 64, 3)		[b'bathtub, bathing tub, bath, tub']
11		(1, 64, 64, 3)		[b'binoculars, field glasses, opera glasses']
12		(1, 64, 64, 3)		[b'Labrador retriever']
13		(1, 64, 64, 3)		[b'Persian cat']
14		(1, 64, 64, 3)		[b"potter's wheel"]
15		(1, 64, 64, 3)		[b'bison']
16		(1, 64, 64, 3)		[b'bucket, pail']
17		(1, 64, 64, 3)		[b'steel arch bridge']
18		(1, 64, 64, 3)		[b'bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis']
19		(1, 64, 64, 3)		[b'sea cucumber, holothurian']
20		(1, 64, 64, 3)		[b'cliff dwelling']
21		(1, 64, 64, 3)		[b'plate']
22		(1, 64, 64, 3)		[b'fur coat']
23		(1, 64, 64, 3)		[b'thatch, thatched roof']
24		(1, 64, 64, 3)		[b'backpack, back pack, knapsack, packsack, rucksack, haversack']
25		(1, 64, 64, 3)		[b'teddy, teddy bear']
26		(1, 64, 64, 3)		[b'viaduct']
27		(1, 64, 64, 3)		[b'binoculars, field glasses, opera glasses']
28		(1, 64, 64, 3)		[b'beer bottle']
29		(1, 64, 64, 3)		[b'sea cucumber, holothurian']
30		(1, 64, 64, 3)		[b'sports car, sport car']
31		(1, 64, 64, 3)		[b'beacon, lighthouse, beacon light, pharos']
32		(1, 64, 64, 3)		[b'bathtub, bathing tub, bath, tub']
33		(1, 64, 64, 3)		[b'albatross, mollymawk']
34		(1, 64, 64, 3)		[b'viaduct']
35		(1, 64, 64, 3)		[b'American lobster, Northern lobster, Maine lobster, Homarus americanus']
36		(1, 64, 64, 3)		[b'neck brace']
37		(1, 64, 64, 3)		[b'oboe, hautboy, hautbois']
38		(1, 64, 64, 3)		[b'water jug']
39		(1, 64, 64, 3)		[b'viaduct']
40		(1, 64, 64, 3)		[b'banana']
41		(1, 64, 64, 3)		[b'bullfrog, Rana catesbeiana']
42		(1, 64, 64, 3)		[b'goldfish, Carassius auratus']
43		(1, 64, 64, 3)		[b'sombrero']
44		(1, 64, 64, 3)		[b'organ, pipe organ']
45		(1, 64, 64, 3)		[b'iPod']
