Number		Dims		Class Data
0		(1, 64, 64, 3)		[b'ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle']
1		(1, 64, 64, 3)		[b'bow tie, bow-tie, bowtie']
2		(1, 64, 64, 3)		[b'Chihuahua']
3		(1, 64, 64, 3)		[b'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']
4		(1, 64, 64, 3)		[b'confectionery, confectionary, candy store']
5		(1, 64, 64, 3)		[b'mantis, mantid']
6		(1, 64, 64, 3)		[b'altar']
7		(1, 64, 64, 3)		[b'oboe, hautboy, hautbois']
8		(1, 64, 64, 3)		[b'scorpion']
9		(1, 64, 64, 3)		[b'triumphal arch']
10		(1, 64, 64, 3)		[b'comic book']
11		(1, 64, 64, 3)		[b"plunger, plumber's helper"]
12		(1, 64, 64, 3)		[b'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']
13		(1, 64, 64, 3)		[b'trilobite']
14		(1, 64, 64, 3)		[b'flagpole, flagstaff']
15		(1, 64, 64, 3)		[b'Egyptian cat']
16		(1, 64, 64, 3)		[b'magnetic compass']
17		(1, 64, 64, 3)		[b'altar']
18		(1, 64, 64, 3)		[b'black stork, Ciconia nigra']
19		(1, 64, 64, 3)		[b'remote control, remote']
20		(1, 64, 64, 3)		[b'remote control, remote']
21		(1, 64, 64, 3)		[b'confectionery, confectionary, candy store']
22		(1, 64, 64, 3)		[b'alp']
23		(1, 64, 64, 3)		[b"potter's wheel"]
24		(1, 64, 64, 3)		[b'Chihuahua']
25		(1, 64, 64, 3)		[b'bison']
26		(1, 64, 64, 3)		[b'cockroach, roach']
27		(1, 64, 64, 3)		[b'snail']
28		(1, 64, 64, 3)		[b'iPod']
29		(1, 64, 64, 3)		[b'magnetic compass']
30		(1, 64, 64, 3)		[b'sunglasses, dark glasses, shades']
31		(1, 64, 64, 3)		[b'convertible']
32		(1, 64, 64, 3)		[b'binoculars, field glasses, opera glasses']
33		(1, 64, 64, 3)		[b'hog, pig, grunter, squealer, Sus scrofa']
34		(1, 64, 64, 3)		[b'acorn']
35		(1, 64, 64, 3)		[b'Labrador retriever']
36		(1, 64, 64, 3)		[b'centipede']
37		(1, 64, 64, 3)		[b'limousine, limo']
38		(1, 64, 64, 3)		[b'slug']
39		(1, 64, 64, 3)		[b'sea slug, nudibranch']
40		(1, 64, 64, 3)		[b'tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui']
41		(1, 64, 64, 3)		[b'chest']
42		(1, 64, 64, 3)		[b'grasshopper, hopper']
43		(1, 64, 64, 3)		[b'lifeboat']
44		(1, 64, 64, 3)		[b'banana']
45		(1, 64, 64, 3)		[b'teapot']
46		(1, 64, 64, 3)		[b'fountain']
47		(1, 64, 64, 3)		[b'bannister, banister, balustrade, balusters, handrail']
48		(1, 64, 64, 3)		[b'syringe']
49		(1, 64, 64, 3)		[b'baboon']
50		(1, 64, 64, 3)		[b'apron']
51		(1, 64, 64, 3)		[b'teddy, teddy bear']
52		(1, 64, 64, 3)		[b'meat loaf, meatloaf']
53		(1, 64, 64, 3)		[b'koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus']
54		(1, 64, 64, 3)		[b'teapot']
55		(1, 64, 64, 3)		[b'ice cream, icecream']
56		(1, 64, 64, 3)		[b'spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish']
57		(1, 64, 64, 3)		[b'nail']
58		(1, 64, 64, 3)		[b'nail']
59		(1, 64, 64, 3)		[b'cliff, drop, drop-off']
60		(1, 64, 64, 3)		[b'picket fence, paling']
61		(1, 64, 64, 3)		[b'dugong, Dugong dugon']
62		(1, 64, 64, 3)		[b'dugong, Dugong dugon']
63		(1, 64, 64, 3)		[b'magnetic compass']
64		(1, 64, 64, 3)		[b'snail']
65		(1, 64, 64, 3)		[b'American alligator, Alligator mississipiensis']
66		(1, 64, 64, 3)		[b'chest']
67		(1, 64, 64, 3)		[b'Persian cat']
68		(1, 64, 64, 3)		[b'barbershop']
69		(1, 64, 64, 3)		[b'vestment']
70		(1, 64, 64, 3)		[b'comic book']
71		(1, 64, 64, 3)		[b'torch']
72		(1, 64, 64, 3)		[b'sewing machine']
73		(1, 64, 64, 3)		[b'Yorkshire terrier']
74		(1, 64, 64, 3)		[b'steel arch bridge']
75		(1, 64, 64, 3)		[b'king penguin, Aptenodytes patagonica']
76		(1, 64, 64, 3)		[b'parking meter']
77		(1, 64, 64, 3)		[b'gasmask, respirator, gas helmet']
78		(1, 64, 64, 3)		[b'fur coat']
79		(1, 64, 64, 3)		[b'bikini, two-piece']
80		(1, 64, 64, 3)		[b'parking meter']
81		(1, 64, 64, 3)		[b'cardigan']
82		(1, 64, 64, 3)		[b'water tower']
83		(1, 64, 64, 3)		[b'cannon']
84		(1, 64, 64, 3)		[b'cliff dwelling']
85		(1, 64, 64, 3)		[b'lakeside, lakeshore']
86		(1, 64, 64, 3)		[b'sunglasses, dark glasses, shades']
87		(1, 64, 64, 3)		[b'sandal']
88		(1, 64, 64, 3)		[b'spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish']
89		(1, 64, 64, 3)		[b'pay-phone, pay-station']
90		(1, 64, 64, 3)		[b'tarantula']
91		(1, 64, 64, 3)		[b'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens']
92		(1, 64, 64, 3)		[b'moving van']
93		(1, 64, 64, 3)		[b'American alligator, Alligator mississipiensis']
94		(1, 64, 64, 3)		[b'suspension bridge']
95		(1, 64, 64, 3)		[b'nail']
96		(1, 64, 64, 3)		[b'ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle']
97		(1, 64, 64, 3)		[b'wok']
98		(1, 64, 64, 3)		[b'seashore, coast, seacoast, sea-coast']
99		(1, 64, 64, 3)		[b'triumphal arch']
100		(1, 64, 64, 3)		[b'binoculars, field glasses, opera glasses']
101		(1, 64, 64, 3)		[b'chimpanzee, chimp, Pan troglodytes']
102		(1, 64, 64, 3)		[b'obelisk']
103		(1, 64, 64, 3)		[b'umbrella']
104		(1, 64, 64, 3)		[b'volleyball']
105		(1, 64, 64, 3)		[b'bathtub, bathing tub, bath, tub']
106		(1, 64, 64, 3)		[b'dam, dike, dyke']
107		(1, 64, 64, 3)		[b'scoreboard']
108		(1, 64, 64, 3)		[b'bathtub, bathing tub, bath, tub']
109		(1, 64, 64, 3)		[b'lion, king of beasts, Panthera leo']
110		(1, 64, 64, 3)		[b'steel arch bridge']
111		(1, 64, 64, 3)		[b'binoculars, field glasses, opera glasses']
112		(1, 64, 64, 3)		[b'space heater']
113		(1, 64, 64, 3)		[b'dining table, board']
114		(1, 64, 64, 3)		[b'Chihuahua']
115		(1, 64, 64, 3)		[b'lemon']
116		(1, 64, 64, 3)		[b'acorn']
117		(1, 64, 64, 3)		[b'sombrero']
118		(1, 64, 64, 3)		[b'binoculars, field glasses, opera glasses']
119		(1, 64, 64, 3)		[b'dumbbell']
120		(1, 64, 64, 3)		[b'rocking chair, rocker']
121		(1, 64, 64, 3)		[b'cougar, puma, catamount, mountain lion, painter, panther, Felis concolor']
122		(1, 64, 64, 3)		[b'lawn mower, mower']
123		(1, 64, 64, 3)		[b'tractor']
124		(1, 64, 64, 3)		[b'butcher shop, meat market']
125		(1, 64, 64, 3)		[b'freight car']
126		(1, 64, 64, 3)		[b'guacamole']
127		(1, 64, 64, 3)		[b'broom']
128		(1, 64, 64, 3)		[b'basketball']
129		(1, 64, 64, 3)		[b'torch']
130		(1, 64, 64, 3)		[b'birdhouse']
131		(1, 64, 64, 3)		[b'brain coral']
132		(1, 64, 64, 3)		[b"plunger, plumber's helper"]
133		(1, 64, 64, 3)		[b'turnstile']
134		(1, 64, 64, 3)		[b'sulphur butterfly, sulfur butterfly']
135		(1, 64, 64, 3)		[b'Chihuahua']
136		(1, 64, 64, 3)		[b'snail']
137		(1, 64, 64, 3)		[b'swimming trunks, bathing trunks']
138		(1, 64, 64, 3)		[b'dam, dike, dyke']
139		(1, 64, 64, 3)		[b'school bus']
140		(1, 64, 64, 3)		[b'water tower']
141		(1, 64, 64, 3)		[b'oboe, hautboy, hautbois']
142		(1, 64, 64, 3)		[b'bullfrog, Rana catesbeiana']
143		(1, 64, 64, 3)		[b'pomegranate']
144		(1, 64, 64, 3)		[b'barbershop']
145		(1, 64, 64, 3)		[b'ice cream, icecream']
146		(1, 64, 64, 3)		[b'desk']
147		(1, 64, 64, 3)		[b'ice cream, icecream']
148		(1, 64, 64, 3)		[b'Egyptian cat']
149		(1, 64, 64, 3)		[b'triumphal arch']
150		(1, 64, 64, 3)		[b'bee']
151		(1, 64, 64, 3)		[b'goldfish, Carassius auratus']
152		(1, 64, 64, 3)		[b'bow tie, bow-tie, bowtie']
153		(1, 64, 64, 3)		[b"plunger, plumber's helper"]
154		(1, 64, 64, 3)		[b'stopwatch, stop watch']
155		(1, 64, 64, 3)		[b'orangutan, orang, orangutang, Pongo pygmaeus']
156		(1, 64, 64, 3)		[b'neck brace']
157		(1, 64, 64, 3)		[b'chest']
158		(1, 64, 64, 3)		[b'snorkel']
159		(1, 64, 64, 3)		[b'black widow, Latrodectus mactans']
160		(1, 64, 64, 3)		[b'cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM']
161		(1, 64, 64, 3)		[b'Chihuahua']
162		(1, 64, 64, 3)		[b'obelisk']
163		(1, 64, 64, 3)		[b'potpie']
164		(1, 64, 64, 3)		[b'pretzel']
165		(1, 64, 64, 3)		[b'cockroach, roach']
166		(1, 64, 64, 3)		[b'monarch, monarch butterfly, milkweed butterfly, Danaus plexippus']
167		(1, 64, 64, 3)		[b'lawn mower, mower']
168		(1, 64, 64, 3)		[b'sea cucumber, holothurian']
169		(1, 64, 64, 3)		[b'centipede']
170		(1, 64, 64, 3)		[b'maypole']
171		(1, 64, 64, 3)		[b'vestment']
172		(1, 64, 64, 3)		[b'lion, king of beasts, Panthera leo']
